#, P1Heuristic, P2Heuristic, Winner, MoveCount
1,H1,H1,P1Heuristic,39
2,H1,H1,P1Heuristic,45
3,H1,H1,P1Heuristic,45
4,H1,H1,P2Heuristic,44
5,H1,H1,P1Heuristic,43
6,H1,H1,P2Heuristic,44
7,H1,H1,P1Heuristic,33
8,H1,H1,P2Heuristic,42
9,H1,H1,P1Heuristic,43
10,H1,H1,P1Heuristic,37
11,H1,H1,P2Heuristic,34
12,H1,H1,P2Heuristic,44
13,H1,H1,P2Heuristic,44
14,H1,H1,P1Heuristic,37
15,H1,H1,P2Heuristic,42
16,H1,H1,P2Heuristic,42
17,H1,H1,P2Heuristic,40
18,H1,H1,P2Heuristic,32
19,H1,H1,P1Heuristic,45
20,H1,H1,P1Heuristic,45
21,H1,H1,P1Heuristic,33
22,H1,H1,P1Heuristic,45
23,H1,H1,P1Heuristic,39
24,H1,H1,P2Heuristic,44
25,H1,H1,P2Heuristic,40
26,H1,H1,P1Heuristic,45
27,H1,H1,P2Heuristic,44
28,H1,H1,P1Heuristic,43
29,H1,H1,P2Heuristic,44
30,H1,H1,P1Heuristic,45
31,H1,H1,P1Heuristic,39
32,H1,H1,P2Heuristic,34
33,H1,H1,P1Heuristic,41
34,H1,H1,P1Heuristic,39
35,H1,H1,P1Heuristic,27
36,H1,H1,P1Heuristic,43
37,H1,H1,P2Heuristic,40
38,H1,H1,P1Heuristic,41
39,H1,H1,P2Heuristic,44
40,H1,H1,P2Heuristic,44
41,H1,H1,P2Heuristic,44
42,H1,H1,P1Heuristic,41
43,H1,H1,P2Heuristic,44
44,H1,H1,P2Heuristic,44
45,H1,H1,P1Heuristic,45
46,H1,H1,P2Heuristic,34
47,H1,H1,P2Heuristic,44
48,H1,H1,P1Heuristic,33
49,H1,H1,P2Heuristic,44
50,H1,H1,P1Heuristic,41
51,H2,H2,P1Heuristic,41
52,H2,H2,P2Heuristic,44
53,H2,H2,P1Heuristic,41
54,H2,H2,P2Heuristic,42
55,H2,H2,P2Heuristic,44
56,H2,H2,P2Heuristic,44
57,H2,H2,P2Heuristic,42
58,H2,H2,P2Heuristic,44
59,H2,H2,P2Heuristic,42
60,H2,H2,P2Heuristic,42
